Datetime,IS20-MS-01 -  Irradiation - Horizontal Pyranometer(W/m2),IS20-MS-01 -  Irradiation - Tilted Pyranometer (W/m2)
2023-08-15 09:55:00,790.8,1035
2023-08-15 10:00:00,846,1085.4
2023-08-15 10:05:00,838.4,1045.6
2023-08-15 10:10:00,905.6,1111
2023-08-15 10:15:00,869.2,1075.4
2023-08-15 10:20:00,876.4,1078.2
2023-08-15 10:25:00,845,1027.4
2023-08-15 10:30:00,845.4,1012.8
2023-08-15 10:35:00,840.6,991.8
2023-08-15 10:40:00,852.2,990.6
2023-08-15 10:45:00,905.8,1036.4
2023-08-15 10:50:00,932.2,1056.4
2023-08-15 10:55:00,956.4,1070
2023-08-15 11:00:00,1001,1106.4
2023-08-15 11:05:00,981.4,1070.4
2023-08-15 11:10:00,814.8,878.8
2023-08-15 11:15:00,958.4,1029.2
2023-08-15 11:20:00,965.2,1032
2023-08-15 11:25:00,985.4,1042.8
2023-08-15 11:30:00,1017,1070.6
2023-08-15 11:35:00,1038.2,1087.8
2023-08-15 11:40:00,1013,1050.4
